ProspectID;BlockID;ProspectDescription;ProsepectOperator;ProspectAbbr;ProspectName;ProsepectCode;ProspectClass
P58;CL8;;VRJ;;Soi C;BC_VRJ09_3_062;Prospect
P59;CL8;;VRJ;Soi T East;Soi T -East;BC_VRJ09_3_062;Prospect
P6;CL39;Diamond is located 163 km east of Vung Tau and 19 km north of Ruby-1 in Block 01 within the Mekong Basin.;PETRONAS;01-A;Diamond;BC_PNAS01_02_866;Field
P60;CL8;;VRJ;Soi T West;Soi T -West;BC_VRJ09_3_062;Prospect
P61;CL8;;VRJ;;Soi B;BC_VRJ09_3_062;Prospect
P62;CL8;;VRJ;;Soi TB1;BC_VRJ09_3_062;Prospect
P63;CL8;;VRJ;;Soi TB2;BC_VRJ09_3_062;Prospect
P64;CL8;;VRJ;;Doi Moi Bac;BCA002352;Lead
P65;CL42;The Nam Rong Doi Moi area, which is the western part of Block 09-3 on the Vietnam shelf, partly in the southern part of Block 09-1 and partly in the eastern part of Block 17 (13.5 sq.km). The Nam Rong-Doi Moi area is located ISO km southeast of the seaside town and port of Vung Tau.;VRJ;Doi Moi;Nam Rong - Doi Moi;"BC_VRJ09_3_035; BC_VSP_072";Field
P66;CL42;;VRJ;;Doi Moi Dong;BC_VRJ09_3_035;Lead
P67;CL42;The interpretation Study before drilling the DM-1X well found the Doi Moi Nam Lead on the top basement surface, which is an east-west elongated basement high bounded by normal faults and situated 4km south of the Doi Moi Structure.;VRJ;;Doi Moi Nam;BC_VRJ09_3_035;Lead
P68;CL42;;VRJ;;Doi Moi DN;BC_VRJ09_3_035;Lead
P69;CL42;Rong field area;VSP;;Dong-Bac Rong;BC_VSP_072;Field
P7;CL39;The Emerald Prospect is an anticlinal drape over a northeast - southwest trending igneous basement high located in the southwestern area of Block 01. This location is approximately 162 km. East of Vung Tau and 9 km. South of Ruby-I.;PETRONAS;01-P;Emerald;BC_PNAS01_02_363;Prospect
P70;CL42;;VSP;;Yen Ngua - Rong;BC_VSP_072;Field
P71;CL42;Rong field area;VSP;;Tay-Bac Rong;BC_VSP_072;Field
P72;CL33;"Cụm cấu tạo Cá Tầm nằm phía bắc lô 09-3/12; cụm cấu tạo Cá Tầm được chia làm 5 khu vực: Trung tâm, Tây, Tây Bắc, Đông Bắc, Đông Nam.";VSP;;Ca Tam;BC_VSP_096;Prospect
P73;CL43;;DEMINEX;Tra Tan;15-A;BCA000297;Prospect
P74;CL43;;DEMINEX;Song Ba;15-B;BCA000297;Prospect
P75;CL43;;DEMINEX;Cuu Long, Rang dong;15-C;BCA000297;Prospect
P76;CL43;;DEMINEX;Ben Hai;15-D;BCA000297;Prospect
P77;CL43;;DEMINEX;La Nga;15-E;BCA000297;Prospect
P78;CL43;;DEMINEX;;15-F;BCA000297;Prospect
P79;CL43;;DEMINEX;Dong Nai;15-G;BCA000297;Prospect
P8;CL39;Four way dip closurce for the Lower Miocene sanstone reservoir and faulted dependent clousre for the Oligocene sanstone reservoir. Moonstone prospect is located about 170 km east of Vungtau, 10 km to southeast of oil-discovery Diamond-2X, 10 km to northeast of Ruby-3X and 7 km to northwest of Topaz North-2X.;PETRONAS;;Moonstone;BC_PNAS01_02_479;Prospect
P80;CL9;;OXY;;15-I;BC_CuuLong15.1_021/ BCA011861;
P81;CL9;;GEOPETROL;;15-1-A;BC_CuuLong15.1_018;Prospect
P82;CL9;;GEOPETROL;15-G;15-1-B;BC_CuuLong15.1_018;Prospect
P83;CL9;;GEOPETROL;;15-1-B North;BC_CuuLong15.1_018;Lead
P84;CL9;;GEOPETROL;;15-1-C;BC_CuuLong15.1_018;Lead
P85;CL9;;GEOPETROL;;15-1-D;BC_CuuLong15.1_018;Lead
P86;CL9;The Su Tu Chua (Lion King) prospect is located at the southeastern part of block 15-1 and has a primary basement reservoir target and secondary Oligocene sandstone target. It is located in the saddle area between two basement structures of Su Tu Den and Su Tu Vang discoveries.;CUU_LONG_JOC;Lion King;Su Tu Chua;BC_CuuLong15.1_059;Prospect
P87;CL9;The Sutu Den prospect is located at the northeastern part of block 15-1. The prospect has a primary fractured basement reservoir target and secondary Oligocene-Miocene sandstone targets.;CUU_LONG_JOC;;Su Tu Den;BC_CuuLong15.1_036;Field
P88;CL9;The Su Tu Nau (SN, Brown Lion) prospect is located at the northeastern part of block 15-1. Su Tu Nau prospect has the primary basement reservoir target and secondary clastic reservoir target.;CUU_LONG_JOC;Brown Lion;Su Tu Nau;BC_CuuLong15.1_433;Field
P89;CL9;The Su Tu Trang (White Lion) prospect is located at the SE part of block 15-1 and has a primary basement reservoir target and secondary clastic target and which is located about 26km away to the south of Su Tu Den.;CUU_LONG_JOC;White Lion;Su Tu Trang;"BC_CuuLong15.1_073; BC_CUULONG15.1_494";Field
P9;CL39;Pearl is loacated approximately 160 km east of Vungtau and 5 km southeast of Ruby-1.;PETRONAS;01-F;Pearl;BC_PNAS01_02_389;Field
P90;CL9;The Sutu Vang (Golden Lion) prospect is located at the northeastern part of block 15-1.;CUU_LONG_JOC;;Su Tu Vang;BC_CuuLong15.1_053;Field
P91;CL10;Lac Da Nau (LDN) Cluster locates in the southeastern part of the Block 15-1/05 and in the north-eastern lengthened part of Hai Su Nau Field.;PHU_QUY_JOC;;Lac Da Nau;BC_PhuQuy.POC15.1_046;Prospect
P92;CL10;;PHU_QUY_JOC;;Lac Da Nau_North;BC_PHUQUY.POC15.1/05_046;Prospect
P93;CL10;;PHU_QUY_JOC;;Lac Da Nau_South;BC_PHUQUY.POC15.1/05_046;Prospect
P94;CL10;;PHU_QUY_JOC;;Lac Da Nau_Center +Northeast;BC_PHUQUY.POC15.1/05_046;Prospect
P95;CL10;Lac Da Vang (LDV) Cluster locates in the southeastern part of the Block 15-1/05 and is a geometrical southwestern tail of Su Tu Den-Su Tu Vang trend.;PHU_QUY_JOC;;Lac Da Vang;BC_PHUQUY.POC15.1/05_037;Prospect
P96;;;PHU_QUY_JOC;;Lac Da Xam;BC_PHUQUY.POC15.1/05_044;Prospect
P97;CL10;The northwestern of the Block 15-1/05.;PHU_QUY_JOC;;La Da Den;BC_PHUQUY.POC15.1/05_044;Prospect
P98;CL10;The northwestern of the Block 15-1/05.;PHU_QUY_JOC;;Lac Da Trang;BC_PHUQUY.POC15.1/05_044;Prospect
P99;CL10;;PHU_QUY_JOC;;Gau Den-North;BC_PHUQUY.POC15.1/05_002;Prospect
